,country,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants,protesteridentity,sources,notes,final,ignore,crowd dispersal,arrests,accomodation,shootings,beatings,killings,"political behavior, process",labor wage dispute,"price increases, tax policy",removal of politician,police brutality,land farm issue,social restrictions
13679,Afghanistan,2014,Asia,1,5,7.0,7.0,2014.0,7.0,7.0,2014.0,0.0,Kabul,>50,supporters of the presidential candidate abdullah abdullah,"tentative results in afghan presidential runoff spark protests. the new york times, july 8, 2014 tuesday, section a; column 0; foreign desk; pg. 6, by matthew rosenberg and azam ahmed; reporting was contributed by haris kakar, jawad sukhanyar and ahmad shakib from kabul, and taimoor shah from kandahar, afghanistan.;","protesting over alleged election fraud. at the same time, there were reports that abdullah supporters were demonstrating in kabul, denouncing a coup by the election commission after his campaign tersely rejected the election s legitimacy. one video posted on social media showed dozens of men, including police officers in uniform, chanting long live president abdullah and spraying gunfire...",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13680,Afghanistan,2014,Asia,1,6,9.0,7.0,2014.0,9.0,7.0,2014.0,0.0,Kabul,100s,supporters of the presidential candidate abdullah abdullah,"kerry pushes sides to resolve impasse over afghan election. the washington post, july 12, 2014 saturday, a section; pg. a07, erin cunningham;","protesting over alleged election fraud. but the commission s announcement had already incensed abdullah and his supporters, who rallied around him at a massive demonstration in kabul on wednesday. they called the preliminary results a coup and urged abdullah, a former top aide to legendary afghan mujahideen commander ahmed shah massoud, to declare a parallel government...",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13681,Afghanistan,2015,Asia,1,1,23.0,3.0,2015.0,23.0,3.0,2015.0,0.0,Kabul,100s,protesters,"in kabul, fatal beating becomes rallying cry for afghan women. the washington post, march 24, 2015 tuesday, a section; pg. a09, sudarsan raghavan;","hundreds of protesters in afghanistan s capital on monday demanded justice in the mob killing of an afghan woman falsely accused of burning a koran, as senior officials announced arrests in an incident that has sparked outrage across the country. on thursday, a 27 year old theology student named farkhunda was brutally beaten with rocks and sticks before being run over by a car in front of one of kabul s most venerated shrines after an islamic preacher accused her of desecrating the koran. her bloodied body was then set on fire and tossed into the kabul river. police were at the scene but did nothing to stop the mob...on monday, protesters blamed police and the government for the killing and urged that the officers be dismissed from their positions...",accomodation,0,0,0,1,0,0,0,1,0,0,0,1,0,0
13682,Afghanistan,2015,Asia,1,2,24.0,3.0,2015.0,24.0,3.0,2015.0,0.0,Kabul,1000s,"protesters, women","1 afghan protesters demand justice for woman killed by mob. the new york times, march 25, 2015 wednesday, section ; column 0; foreign desk; open source; pg. , by robert mackey; 2 protests at woman s killing by kabul mob; afghanistan. the times london , march 25, 2015 wednesday, news; pg. 39, tom coghlan; 3 woman s lynching forcesa rethinking among afghans. the washington post, march 25, 2015 wednesday, a section; pg. a01, sudarsan raghavan;","1 hundreds of afghan protesters marched to the nation s supreme court on tuesday, demanding justice for a woman who was beaten to death by a mob last week after being falsely accused of burning pages from the quran...at the protest on tuesday, pajhwok afghan news reported, the demonstrators demanded that the attackers be arrested and chanted criticism of the police because in the footage officers could be seen failing to stop the assault...a spokesman for the kabul police who suggested on facebook last week that the killing of an unbeliever was justified, was fired on tuesday along with a number of other officers... ; 2 thousands of afghan women chanted down with ignorance! as they marched through kabul yesterday, some with faces daubed in fake blood, to demand action over the mob killing of a woman in the capital last week...the authorities have arrested dozens of people, including more than 20 police officers. many of the thousands protesting yesterday had painted their faces red, or wore masks of the dead woman s face taken from phone camera footage of her terrified final moments...many at yesterday s protest accused the government of failing to address a deep rooted culture of impunity and abuse among the country s security forces and ruling elite... ; 3 thousands of afghans marched in front of the nation s supreme court in a steady pouring rain, in the biggest rally yet to demand justice for farkhunda s death. punish the murderers, some chanted. sack the police chief, others shouted. some women painted their faces red, emulating the bloodied face of farkhunda, who like many afghans used only one name...large groups of policemen, clutching riot shields and batons, dispatched to keep the protest orderly...",accomodation,0,1,0,1,0,0,0,1,0,0,0,1,0,0
13683,Afghanistan,2015,Asia,1,3,2.0,4.0,2015.0,2.0,4.0,2015.0,0.0,Khost,>55,protesters,"1 world briefing asia; afghanistan: explosion kills at least 16. the new york times, april 3, 2015 friday, section a; column 0; foreign desk; pg. 10, by joseph goldstein; farooq jan mangal contributed reporting from khost, afghanistan, and fazal muzhary and mujib mashal from kabul; 2 world digest: april 2, 2015. the washington post, april 3, 2015 friday, a section; pg. a06;","1 an explosion during a political protest in southeastern afghanistan killed at least 16 people on thursday and left many others wounded, including a member of parliament, according to the authorities. the blast, which was believed to have been the work of a suicide bomber, occurred around 10 a.m. in front of the provincial governor s compound in the city of khost, where a crowd of several hundred had gathered in recent days demanding the governor s removal. the wounded lawmaker, who had joined the protest, was humayun humayun, head of the defense committee in the lower house of parliament, according to the governor s spokesman, mubariz mohammad zadran. mr. zadran said that more than 55 people had been wounded... ; 2 the protests had been going on for days...",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
13684,Afghanistan,2015,Asia,1,4,10.0,11.0,2015.0,10.0,11.0,2015.0,0.0,Ghazni,1000s,protesters,"afghans decry killings of minority hazaras. the washington post, november 11, 2015 wednesday, a section; pg. a19, sayed salahuddin;","thousands of afghans staged protests and held candlelight vigils tuesday over the slayings of seven members of the country s ethnic hazara minority, an attack that has sparked fears of sectarian targeted killings in a nation beset by decades of bitter conflict...the bodies were taken to the victims home region of ghazni for burial. but relatives refused to bury them, planning instead to go to kabul to put the bodies on display outside the presidential palace and the united nations headquarters, an organizer said...",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13685,Afghanistan,2015,Asia,1,5,11.0,11.0,2015.0,11.0,11.0,2015.0,1.0,Kabul,>10000,"protesters, youth, laborers, university students, pensioners, hazaras","1 afghans demonstrate for more security after seven hostages are beheaded. the new york times, november 12, 2015 thursday, section a; column 0; foreign desk; pg. 4, by mujib mashal; reporting was contributed by jawad sukhanyar from kabul, and taimoor shah from kandahar, afghanistan; 2 afghans march on president s palace to protest hazara deaths. the washington post, november 12, 2015 thursday, a section; pg. a12, sayed salahuddin;","1 through a persistent rain in the afghan capital on wednesday, thousands of protesters carried the coffins of seven beheaded hazara hostages to the presidential palace, demanding greater security and an end to a wave of targeted violence. the crowd in kabul huge by the standard of recent years shouted slogans including death to the taliban and death to the islamic state. they accused president ashraf ghani of incompetence in the face of deteriorating security and called for the resignation of his coalition government...though most of the demonstration remained orderly, frustrations rose late in the day, when a smaller group of young protesters smashed the windows of government buildings with stones and scaled walls to enter the palace parking lot. a spokesman for mr. ghani, sayed zafar hashemi, said 10 protesters were wounded when palace guards fired warning shots...while the government wanted the bodies to be delivered for burial to their home district in ghazni, activists from kabul and ghazni provinces arranged for them to arrive in kabul late on tuesday. hundreds of candle carrying mourners gathered in a large meeting space in the western part of the capital city and received the coffins draped in afghan flags. as the coffins were propped on the shoulders of young men, a ring around them sobbed loudly. as crowd quickly grew, so did security concerns. mourners formed lines to frisk people before they walked in but had difficulty managing the crowd. hundreds of mourners stayed in the rain and the cold overnight with the coffins, as calls went out for a march the next day. the mourners defied government efforts to take the bodies to a hospital. the thousands that marched on the palace included people from all walks of life, including laborers, university students and retired people. for most of the day, the protests remained calm and well organized, with a human chain on each side of the marchers keeping them contained and leaving the sidewalks open for passers by... ; 2 afghan security forces fired warning shots outside the presidential palace wednesday to disperse thousands of protesters angry over slayings suspected of having been committed by militants linked to the islamic state. the demonstration one of the largest in recent years in afghanistan highlighted growing discontent at the government s inability to counter groups such as the taliban and islamic state inspired factions. it also underscored the unease among the country s minorities, who are increasingly fearful of being targeted by militants...on wednesday, afghan television showed protesters trying to climb the walls of the presidential compound. security personnel fired into the air, forcing down those who had managed to scale a wall. the gunfire lasted nearly a minute, prompting protesters on the road to scatter. news reports said several were wounded. the protesters, estimated at more than 10,000, were demanding stronger government action to combat what many afghans fear is a rise in sectarian violence. ...the mainly hazara demonstrators marched with the coffins through the streets of kabul. the demonstration came a day after a protest in ghazni and followed an overnight candlelight vigil in kabul. the protesters chanted anti government slogans and demanded the resignations of president ashraf ghani and his partner in the power sharing government, abdullah abdullah. some chanted death to ghani, death to abdullah, as well as death to daesh and death to the taliban. daesh is the arabic acronym for the islamic state.",shootings,0,0,0,0,1,0,0,1,0,0,1,0,0,0
13686,Afghanistan,2016,Asia,1,1,22.0,3.0,2016.0,22.0,3.0,2016.0,0.0,Mazar i Sharif,hundreds,protesters,"face off between strongmen exposes afghanistan s deep political rifts, the new york times, march 24, 2016 thursday, section a; column 0; foreign desk; pg. 8, 1111 words, by mujib mashal and jawad sukhanyar;","in northern afghanistan, a dispute over billboard portraits of the country s vice president has inflamed tensions between two of the most powerful regional strongmen, exposing internal political strains even as the government faces a dire challenge from taliban offensives. on tuesday, hundreds of protesters marched in the northern city of mazar i sharif, the capital of balkh province, expressing outrage that photos of abdul rashid dostum, the vice president and a northern uzbek factional leader, had been removed from two large billboards in the heart of the city. the demonstrators blamed the province s governor and mr. dostum s longtime rival, atta mohammad noor, saying that the men who took down the photos were using official police vehicles at a time of tight security for the celebration of the persian new year. it is not the first time that arguments over something as seemingly trivial as a photograph have threatened afghanistan s coalition government, which was brokered by the united states after fraud strewn elections in 2014. hard feelings left over from those elections between the supporters of mr. ghani, who became president, and abdullah abdullah, for whom the position of the government s chief executive was created have kept the two sides tense over the smallest protocol issues. the strained relations have burdened a government faced with the mounting challenges of an emboldened insurgency and an economic crisis. the tensions in balkh are the continuation of the political troubles stirred by the election. mr. noor, who was one of mr. abdullah s main supporters, has said that his candidate was cheated out of winning and that the president s team is now trying to marginalize mr. abdullah as well as replace mr. noor as governor of balkh, a post he has held for 12 years. mr. noor denied accusations that he was behind the removal of mr. dostum s photos. in a long and at times harsh statement, he placed blame for the episode on agitators who he promised would be pursued. we will not allow the security of our city to be ruined, or us and our people be cursed at, on pretext of the tearing of a photo, he wrote.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13687,Afghanistan,2016,Asia,1,2,16.0,5.0,2016.0,16.0,5.0,2016.0,1.0,Kabul,tens of thousands,ethnic hazaras,"1. hazaras protest against afghan power line route, canberra times australia , may 18, 2016 wednesday, a; pg. a009, 191 words; 2. kabul explosion: at least 29 killed as blast targets protest march, the independent united kingdom , july 23, 2016 saturday 11:45 am gmt, asia, 554 words, rachael pells; 3. antigovernment protesters bring kabul to a standstill, the new york times, may 17, 2016 tuesday, section a; column 0; foreign desk; pg. 8, 881 words, by mujib mashal;","hazaras protest against afghan power line route kabul a large demonstration against the fragile afghan government brought kabul to a standstill on monday and put security forces on alert. the protest, driven by ethnic hazaras outrage over the proposed route for a new electricity transmission line, tapped a deep well of factional tensions over the government of president ashraf ghani. protesters want the government to abandon its decision to reroute the line, which would transmit electricity from turkmenistan. it was initially supposed to go through bamian, a hazara dominated central province that is one of the most deprived in the country. it is intended to provide secure power to 10 provinces, and is backed by the asian development bank to link the energy rich central asia republics of turkmenistan, uzbekistan and tajikistan with afghanistan and pakistan. protesters have been demanding that the planned route for the transmission line linking turkmenistan with kabul be changed to pass through two provinces with large hazara populations. the government says this option would cost millions and delay the badly needed project by years. the protest attracted tens of thousands of people, causing the central business district to be closed off.",crowd dispersal,0,1,0,0,0,0,0,1,0,0,0,0,1,0
13688,Afghanistan,2016,Asia,1,3,23.0,7.0,2016.0,23.0,7.0,2016.0,0.0,Kabul,thousands,ethnic hazaras,"1. afghanistan marks day of national mourning after huge attack, the christian science monitor, july 24, 2016 sunday, world, 922 words, lynne o donnel; 2. scores killed and hundreds injured in kabul bombing claimed by isis, the independent united kingdom , july 24, 2016 sunday, news; pg. 17, 571 words, rachael pells; 3. first isis suicide bomb in kabul leaves 80 dead, the times london , july 25, 2016 monday, news; pg. 32, 411 words, hugh tomlinson;aimal yaqubi ;","at least 80 people have been killed and more than 200 wounded in an explosion targetting a large demonstration in kabul, afghanistan a blast that has been claimed by isis. if confirmed it would be the first major attack by the terror group in the country, and the first time it has targeted the capital. thousands of members of the afghan hazara minority group had been marching through the city during the planned protest over plans for a controversial new power line route, which they say bypasses many of the areas they live in. local news sources have reported that a suicide bomber was behind the blast with a statement on the isis linked aamaq news agency claiming that two attackers detonated explosive vests. however, officials are yet to confirm the cause. a large part of the city centre had been sealed off for the protest march. the demonstrators had reportedly waved banners and chanted death to discrimination , in reaction to the plans for a 500kv power transmission line to be built from turkmenistan to kabul ? bypassing many of the areas with large hazara communities. violence had been feared at what was the second demonstration by hazaras over the power line issue. they are considered the poorest of the country s ethnic groups, and have suffered a history of discrimination.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,1,0
13689,Afghanistan,2016,Asia,1,4,22.0,9.0,2016.0,22.0,9.0,2016.0,0.0,Kabul,50,residents,"1. kabul makes peace with warlord, the times london , september 23, 2016 friday, news; pg. 40, 525 words, hugh tomlinson; aimal yaqubi; 2. 6 months after deal, standstill over key afghan warlord s return, the washington post, march 26, 2017 sunday, a section; pg. a18, 1199 words, pamela constable;","a notorious afghan warlord behind the deaths of aid workers, western troops and thousands of civilians was ushered back into politics yesterday with the signing of a controversial peace accord in kabul. the agreement has led to widespread outrage, particularly in kabul, which suffered indiscriminate shelling from mr hekmatyar s forces during the civil war of the 1990s in which thousands died. at demonstrations in the capital yesterday protesters placards read we won t forgive the butcher of kabul . the protesters in kabul and opposition parties were not persuaded, however. peace won t come by suppressing justice. people want them to be punished, but instead they get privileges, selay ghafar, of the solidarity party of afghanistan, said. pardoning of these criminals is up to the people of afghanistan. they should be tried by independent courts.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13690,Afghanistan,2017,Asia,1,1,26.0,4.0,2017.0,26.0,4.0,2017.0,0.0,Jowzjan Province,2000,protesters,"year of challenges awaits afghan leader the new york times, april 27, 2017 thursday, section a; column 0; foreign desk; pg. 6, 817 words, by mujib mashal and jawad sukhanyar ;","in another sign of a tough year ahead for president ashraf ghani of afghanistan, supporters of his embattled vice president protested on wednesday in a northern province against what they said was the marginalization of their faction in the government. the protest against mr. ghani on wednesday, which included as many as 2,000 people according to participants, was organized by the office of general dostum. his supporters and aides said the protest, in jowzjan province, was the first of others to come in northern provinces. we raised our voices to demand our rights, which are not given to us, and to get permission for the first vice president to come to his office said massouda omari, an adviser to general dostum.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13691,Afghanistan,2017,Asia,1,2,2.0,6.0,2017.0,5.0,6.0,2017.0,1.0,Kabul,thousands,uprising for change,"1. explosions rock funeral in kabul, killing at least 7 and injuring dozens, the new york times , june 3, 2017 saturday 23:38 est, world; asia, 969 words, jawad sukhanyar and mujib mashal; 2. violence flares at kabul protest, with afghan forces firing toward crowd, the new york times, june 3, 2017 saturday, section a; column 0; foreign desk; pg. 7, 1017 words, by mujib mashal and jawad sukhanyar; 3. anger at afghan government sparks street battle the washington post, june 3, 2017 saturday, a section; pg. a01, 870 words, pamela constable;sharif walid; 4. protests continue at kabul bomb site the washington post, june 5, 2017 monday, a section; pg. a07, 657 words, annie gowen;sayed salahuddin ;","three explosions on saturday rocked the funeral service of a victim of antigovernment protestsin kabul, killing at least seven people and injuring dozens after a tense and bloody week in the afghan capital. the blast followed a truck explosion on wednesday that killed nearly 100 people and wounded almost 500 near the presidential palace and foreign embassies. more than a thousand people had gathered for the final prayer for salem izidyar, the son of the deputy speaker of the senate, who was killed friday during protests in kabul calling for the resignation of the government for what many said was its failure to stop the truck bombing on wednesday. security forces had opened fire to disperse the crowd. a protest on friday that began at the site of a huge bombing in kabul earlier this week and made its way to the gates of the afghan presidential palace turned deadly, with security forces firing to disperse angry crowds trying to get inside. video from the protest showed officers firing in the crowd s direction, but it was unclear whether those bullets were hitting anyone. the police also fired water cannons and tear gas into the crowd. the protests began peacefully on friday morning, as hundreds of people from across the city chanted for the government to resign as they gathered near the bombing site, in the city s diplomatic quarter. the bombing, during morning rush hour on wednesday, killed nearly 100 people and wounded more than 450. the protest continued as demonstrators began moving toward the presidential palace. before noon, thousands of people converged on the site of wednesday s blast in kabul s diplomatic zone, shouting chants against president ashraf ghani and hoisting banners with gruesome photographs from the bombing. the attack left more than 100 people dead and 450 injured. the march which included professionals, students and civic activists remained largely peaceful until one group of protesters tried to reach the gates of ghani s palace three blocks away. hundreds continued to protest for the third day sunday near the site of a deadly bomb blast in kabul, demanding greater security and the ousting of the u.s. backed government of president ashraf ghani. protesters staged a sit in under tents in the blazing heat while fasting for the muslim holy month of ramadan. they clapped and chanted god is great a few hundred yards from the crater left by a massive truck bomb that killed nearly 100 on wednesday. about 500 anti government protesters also rallied for change in the western city of herat. the peaceful protest took place in a capital that remains tense after anti government protests friday and a gruesome triple suicide bombing that killed 20 saturday at a funeral for a protester, according to the public health ministry. demonstrators said they were angry that the government could not keep the country safe, and they demanded the arrests of security forces who allegedly fired into the crowd friday, killing six.",crowd dispersal,0,1,0,0,1,0,0,1,0,0,1,0,0,0
13692,Afghanistan,2017,Asia,1,3,3.0,7.0,2017.0,3.0,7.0,2017.0,0.0,Kabul,hundreds,uprising for change,"after deaths in kabul, a noisy protest and a solemn ceremony the washington post, july 4, 2017 tuesday, a section; pg. a11, 789 words, pamela constable ;","on a boulevard lined with riot police, a motorcade of several hundred protesters honked noisily, waved banners and held up photographs of seven people killed in clashes during demonstrations after a massive bombing in the afghan capital a month ago. the protesters were seeking justice for their fallen friends as part of a movement called the uprising for change that emerged after the bombing. following the blast, thousands joined emotional anti government demonstrations , and some later erected protest camps that blocked roads across the city for much of june. monday s rally ended without incident near the palace. president ashraf ghani was away on a visit to turkmenistan, but the demonstrators called on him to remove his top security officials and prosecute the officers who had fired into the crowd during the june 2 protest. we didn t want to disrupt the public, but we wanted our message to be heard, sharq said. if the government doesn t listen, we will keep coming back. while monday s demonstration sought to sustain the focus on the government s inability to protect the public, sunday s ceremony was an effort to bring solace and closure to victims belonging to the afghan security forces, whose members are the most vulnerable to insurgent violence.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13693,Afghanistan,2018,Asia,1,1,9.0,3.0,2018.0,9.0,3.0,2018.0,0.0,Kabul,hundreds,hazaras,"hazaras protest after an isis attack kills 10 in kabul the new york times , march 9, 2018 friday 10:43 est, world; asia, 623 words, andrew e. kramer ;","the hazaras are a long oppressed minority in afghanistan whose members tend to be shiite, and the blast prompted a group to take to the street in protest of the security failures, marching and chanting near the site of the explosion before crews had finished cleaning up. president ashraf ghani condemned the attack in a statement, saying afghans would not be cowed by terrorism, but his words were likely to ring hollow with the hazaras. several other attacks against the ethnic group in recent years have been attributed to the islamic state, touching off large protests in kabul by hazaras, who say too little is done to protect them and destabilizing the government of mr. ghani. suicide attacks are a part of our daily life that we see but can t do anything about, said hayad, who uses only one name, and is a resident of the hazara neighborhood where the explosion took place. the situation is critical and the government sleeps. the protest went ahead even as police wearing blue surgical gloves were still retrieving human remains and carrying body bags to ambulances.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13694,Afghanistan,2018,Asia,1,2,17.0,3.0,2018.0,17.0,3.0,2018.0,0.0,Chaparhar,50,human rights activists,"killed, shovel in hand : afghan farmers are the latest victims of a chaotic war the new york times, march 19, 2018 monday, section a; column 0; foreign desk; pg. 6, 1142 words, by zabihullah ghazi and mujib mashal ;","last year, 3,438 civilians were killed and 7,015 wounded, according to the united nations. as the war spreads across the country, often deep into populated villages, the effects are taking a heavy toll on civilians. when the violence is perpetuated by government forces, it highlights the deadly bind in which civilians find themselves. the afghan intelligence agency has long been accused of abuses, particularly torture and mistreatment in detention centers. although a recent united nations report said the government had shown commitment to improving such practices, the agency continues to draw criticism. a protest on saturday in chaparhar against the killing of civilians by afghan security forces.",ignore,1,0,0,0,0,0,0,0,0,0,0,1,0,0
