country,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual_percent_gdp,transnational_disputes
Arctic Ocean,"polar climate characterized by persistent cold and relatively narrow annual temperature range; winters characterized by continuous darkness, cold and stable weather conditions, and clear skies; summers characterized by continuous daylight, damp and foggy weather, and weak cyclones with rain or snow",sand,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,0,0.0,0.0,0.0,0.0,0.0,0.0,None,Canada and the US dispute how to divide the Beaufort Sea and the status of the Northwest Passage but continue to work cooperatively to survey the Arctic continental shelf
Argentina,mostly temperate; arid in southeast; subantarctic in southwest,fertile plains of the pampas,one-third of the population lives in Buenos Aires; pockets of agglomeration occur throughout the northern and central parts of the country; Patagonia to the south remains sparsely populated,-0.1,24.02,15.19,39.6,9.07,12.13,Spanish,presidential republic,"civil law system based on West European legal systems; note - in mid-2015, Argentina adopted a new civil code, replacing the old one in force since 1871",28.0,117.0,100.0,27.0,74.29,131.0,0.7000000000000001,"Argentina continues to assert its claims to the UK-administered Falkland Islands (Islas Malvinas), South Georgia, and the South Sandwich Islands in its constitution, forcibly occupying the Falklands in 1982, but in 1995 agreed to no longer seek settlement by force"
Armenia,"highland continental, hot summers, cold winters",gold,"most of the population is located in the northern half of the country; the capital of Yerevan is home to more than five times as many people as Gyumri, the second largest city in the country",-5.5,18.64,11.63,43.04,14.08,12.6,Armenian,parliamentary democracy; note - constitutional changes adopted in December 2015 transformed the government to a parliamentary system,civil law system,136.0,12.0,100.0,86.0,64.74,118.0,4.9,the dispute over the break-away Nagorno-Karabakh region and the Armenian military occupation of surrounding lands in Azerbaijan remains the primary focus of regional instability
Aruba,tropical marine; little seasonal temperature variation,NEGL,most residents live in or around Oranjestad and San Nicolaas; most settlments tend to be located on the less mountainous western side of the island,8.4,17.55,12.06,40.54,14.79,15.05,Papiamento,parliamentary democracy; part of the Kingdom of the Netherlands,civil law system based on the Dutch civil code,180.0,180.0,95.6,159.0,97.17,126.0,None,none
Ashmore And Cartier Islands,tropical,fish,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,"the laws of the Commonwealth of Australia and the laws of the Northern Territory of Australia, where applicable, apply",0.0,0.0,0.0,0.0,0.0,0.0,None,Australia has closed parts of the Ashmore and Cartier reserve to Indonesian traditional fishing
Atlantic Ocean,tropical cyclones (hurricanes) develop off the coast of Africa near Cabo Verde and move westward into the Caribbean Sea; hurricanes can occur from May to December but are most frequent from August to November,oil,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,0,0.0,0.0,0.0,0.0,0.0,0.0,None,some maritime disputes (see littoral states)
Australia,generally arid to semiarid; temperate in south and east; tropical in north,alumina,"population is primarily located on the periphery, with the highest concentration of people residing in the east and southeast; a secondary population center is located in and around Perth in the west; of the States and Territories, New South Wales has, by far, the largest population; the interior, or ""outback"", has a very sparse population",8.1,18.72,12.89,41.15,11.35,15.88,English,federal parliamentary democracy under a constitutional monarchy; a Commonwealth realm,common law system based on the English model,19.0,144.0,100.0,18.0,86.55,114.0,1.9,"In 2007, Australia and Timor-Leste agreed to a 50-year development zone and revenue sharing arrangement and deferred a maritime boundary"
Austria,"temperate; continental, cloudy; cold winters with frequent rain and some snow in lowlands and snow in mountains; moderate summers with occasional showers",oil,the northern and eastern portions of the country are more densely populated; nearly two-thirds of the populace lives in urban areas,3.6,14.01,10.36,41.35,14.41,19.87,German,federal parliamentary republic,civil law system; judicial review of legislative acts by the Constitutional Court,45.0,110.0,100.0,36.0,87.71,125.0,0.7000000000000001,none
Azerbaijan,"dry, semiarid steppe",petroleum,"highest population density is found in the far eastern area of the county, in and around Baku; apart from smaller urbanized areas, the rest of the country has a fairly light and evenly distributed population",0.0,22.84,13.17,45.29,11.41,7.29,Azerbaijani,presidential republic,civil law system,73.0,194.0,100.0,71.0,79.8,103.0,4,"Azerbaijan, Kazakhstan, and Russia ratified the Caspian seabed delimitation treaties based on equidistance, while Iran continues to insist on a one-fifth slice of the sea"
"Bahamas, The",tropical marine; moderated by warm waters of Gulf Stream,salt,"most of the population lives in urban areas, with two-thirds living on New Providence Island where Nassau is located",0.0,22.04,15.39,43.86,10.04,8.67,English,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,common law system based on the English model,156.0,175.0,100.0,141.0,85.0,115.0,None,disagrees with the US on the alignment of the northern axis of a potential maritime boundary
Bahrain,"arid; mild, pleasant winters; very hot, humid summers",oil,"smallest population of the Gulf States, but urbanization rate exceeds 90%; largest settlement concentration is found on the far northern end of the island in and around Manamah and Al Muharraq",10.6,18.45,15.16,56.14,6.89,3.36,Arabic,constitutional monarchy,"mixed legal system of Islamic (sharia) law, English common law, Egyptian civil, criminal, and commercial codes; customary law",100.0,86.0,100.0,90.0,98.64,145.0,3.7,none
Bangladesh,"tropical; mild winter (October to March); hot, humid summer (March to June); humid, warm rainy monsoon (June to October)",natural gas,0,-3.0,26.48,18.56,40.72,7.41,6.82,Bangla,parliamentary republic,mixed legal system of mostly English common law and Islamic law,33.0,13.0,75.9,56.0,15.0,101.0,1.3,Bangladesh referred its maritime boundary claims with Burma and India to the International Tribunal on the Law of the Sea
Barbados,tropical; rainy season (June to October),petroleum,most densely populated country in the eastern Caribbean; approximately one-third live in urban areas,-0.30000000000000004,17.49,12.34,42.69,13.91,13.57,English,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,English common law; no judicial review of legislative acts,178.0,199.0,100.0,162.0,81.76,112.0,None,Barbados and Trinidad and Tobago abide by the April 2006 Permanent Court of Arbitration decision delimiting a maritime boundary and limiting catches of flying fish in Trinidad and Tobago's exclusive economic zone
Belarus,"cold winters, cool and moist summers; transitional between continental and maritime",timber,"a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations",0.7000000000000001,16.09,9.59,43.94,14.45,15.93,Russian,"presidential republic in name, although in fact a dictatorship","civil law system; note - nearly all major codes (civil, civil procedure, criminal, criminal procedure, family, and labor) were revised and came into force in 1999 and 2000",70.0,136.0,100.0,59.0,79.13,122.0,1.2,boundary demarcated with Latvia and Lithuania
Belgium,"temperate; mild winters, cool summers; rainy, humid, cloudy",construction materials,most of the population concentrated in the northern two-thirds of the country; the southeast is more thinly populated; considered to have one of the highest population densities in the world; approximately 97% live in urban areas,4.8,17.22,11.2,39.23,13.14,19.21,Dutch,federal parliamentary democracy under a constitutional monarchy,civil law system based on the French Civil Code; note - Belgian law continues to be modified in conformance with the legislative norms mandated by the European Union; judicial review of legislative acts,37.0,162.0,100.0,41.0,88.66,99.0,0.93,none
Belize,tropical; very hot and humid; rainy season (May to November); dry season (February to May),arable land potential,"approximately 25% to 30% of the population lives in the former capital, Belize City; over half of the overall population is rural; population density is slightly higher in the north and east",-1.0,32.57,19.0,37.72,6.18,4.53,English,parliamentary democracy (National Assembly) under a constitutional monarchy; a Commonwealth realm,English common law,187.0,186.0,92.2,165.0,47.08,85.0,1.2,"Guatemala persists in its territorial claim to approximately half of Belize, but agrees to the Line of Adjacency to keep Guatemalan squatters out of Belize's forested interior"
Benin,"tropical; hot, humid in south; semiarid in north",small offshore oil deposits,"the population is primarily located in the south, with the highest concentration of people residing in and around the cities on the Atlantic coast; most of the north remains sparsely populated with higher concentrations of residents in the west",0.30000000000000004,45.56,20.36,28.54,3.15,2.39,French,presidential republic,civil law system modeled largely on the French system and some customary law,141.0,38.0,41.4,158.0,20.0,79.0,0.7000000000000001,talks continue between Benin and Togo on funding the Adjrala hydroelectric dam on the Mona River
Bermuda,"subtropical; mild, humid; gales, strong winds common in winter",limestone,relatively even population distribution throughout,1.6,16.7,11.88,35.31,16.37,19.74,English,parliamentary democracy; self-governing overseas territory of the UK,English common law,172.0,198.0,100.0,169.0,98.0,92.0,None,none
Bhutan,varies; tropical in southern plains; cool winters and hot summers in central valleys; severe winters and cool summers in Himalayas,timber,0,0.0,24.52,17.77,44.72,6.39,6.6,Sharchhopka,constitutional monarchy,civil law based on Buddhist religious law,167.0,14.0,100.0,120.0,48.11,92.0,None,"lacking any treaty describing the boundary, Bhutan and China continue negotiations to establish a common boundary alignment to resolve territorial disputes arising from substantial cartographic discrepancies, the most contentious of which lie in Bhutan's west along China’s Chumbi salient"
Bolivia,varies with altitude; humid and tropical to cold and semiarid,tin,"a high altitude plain in the west between two cordillera of the Andes, known as the Altiplano, is the focal area for most of the population; a dense settlement pattern is also found in and around the city of Santa Cruz, located on the eastern side of the Andes",-0.30000000000000004,30.34,19.21,38.68,6.06,5.71,Spanish,presidential republic,"civil law system with influences from Roman, Spanish, canon (religious), French, and indigenous law",94.0,70.0,93.0,101.0,43.83,101.0,1.4,"Chile and Peru rebuff Bolivia's reactivated claim to restore the Atacama corridor, ceded to Chile in 1884, but Chile offers instead unrestricted but not sovereign maritime access through Chile for Bolivian products"
Bosnia And Herzegovina,"hot summers and cold winters; areas of high elevation have short, cool summers and long, severe winters; mild, rainy winters along coast",coal,the northern and central areas of the country are the most densely populated,-0.4,13.18,10.83,44.52,15.24,16.22,Bosnian,parliamentary republic,civil law system; Constitutional Court review of legislative acts,113.0,111.0,100.0,83.0,70.12,90.0,0.9,"Serbia delimited about half of the boundary with Bosnia and Herzegovina, but sections along the Drina River remain in dispute"
Botswana,semiarid; warm winters and hot summers,diamonds,"the population is primarily concentrated in the east with a focus in and around the captial of Gaborone, and the far central-eastern city of Francistown; population density remains low in other areas in the country, especially in the Kalahari to the west",2.9,30.54,18.31,39.67,5.92,5.5600000000000005,Setswana,parliamentary republic,mixed legal system of civil law influenced by the Roman-Dutch model and also customary and common law,121.0,137.0,60.7,135.0,47.0,150.0,2.8,none
Bouvet Island,antarctic,None,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,the laws of Norway apply where applicable,0.0,0.0,0.0,0.0,0.0,0.0,None,none
Brazil,"mostly tropical, but temperate in south",alumina,"the vast majority of people live along, or relatively near, the Atlantic coast in the east; the population core is in the southeast, anchored by the cities of Sao Paolo, Brasilia, and Rio de Janeiro",-0.1,21.11,16.06,43.83,9.78,9.21,Portuguese,federal presidential republic,civil law; note - a new civil law code was enacted in 2002 replacing the 1916 code,8.0,182.0,100.0,7.0,59.7,99.0,1.5,uncontested boundary dispute between Brazil and Uruguay over Braziliera/Brasiliera Island in the Quarai/Cuareim River leaves the tripoint with Argentina in question
British Indian Ocean Territory,"tropical marine; hot, humid, moderated by trade winds",coconuts,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,the laws of the UK apply where applicable,0.0,0.0,0.0,0.0,0.0,0.0,None,Mauritius and Seychelles claim the Chagos Islands
British Virgin Islands,subtropical; humid; temperatures moderated by trade winds,NEGL,"a fairly even distribution throughout the inhabited islands, with the largest islands of Tortola, Anegada, Virgin Gorda, and Jost Van Dyke having the largest populations",15.5,16.59,12.53,48.27,12.51,10.09,English,parliamentary democracy; self-governing overseas territory of the UK,English common law,213.0,149.0,0.0,193.0,43.6,112.0,None,none
Brunei,"tropical; hot, humid, rainy",petroleum,0,2.3,22.41,16.14,47.21,8.34,5.9,Malay,absolute monarchy or sultanate,"mixed legal system based on English common law and Islamic law; note - in April 2019, the full sharia penal codes came into force and apply to Muslims and non-Muslims in parallel with present common law codes",128.0,178.0,100.0,134.0,94.6,126.0,3.3,"per Letters of Exchange signed in 2009, Malaysia in 2010 ceded two hydrocarbon concession blocks to Brunei in exchange for Brunei's sultan dropping claims to the Limbang corridor, which divides Brunei"
Bulgaria,"temperate; cold, damp winters; hot, dry summers",bauxite,"a fairly even distribution throughout most of the country, with urban areas attracting larger populations",-0.30000000000000004,14.52,9.4,42.87,13.15,20.06,Bulgarian,parliamentary republic,civil law,76.0,94.0,100.0,57.0,64.78,119.0,3.25,none
Burkina Faso,"three climate zones including a hot tropical savanna with a short rainy season in the southern half, a tropical hot semi-arid steppe climate typical of the Sahel region in the northern half, and small area of hot desert in the very north of the country bordering the Sahara Desert",gold,"Most of the population is located in the center and south. Nearly 31 percent of the population lives in cities. The capital and largest city is Ouagadougou (Ouaga), with a population of 1.8 million. (2019)",-0.6000000000000001,43.58,20.33,29.36,3.5700000000000003,3.16,French,presidential republic,"civil law based on the French model and customary law; in mid-2019, the National Assembly amended the penal code",126.0,31.0,19.2,153.0,16.0,98.0,2.4,"adding to illicit cross-border activities, Burkina Faso has issues concerning unresolved boundary alignments with its neighbors"
Burma,"tropical monsoon; cloudy, rainy, hot, humid summers (southwest monsoon, June to September); less cloudy, scant rainfall, mild temperatures, lower humidity during winter (northeast monsoon, December to April)",petroleum,population concentrated along coastal areas and in general proximity to the shores of the Irrawaddy River; the extreme north is relatively underpopulated,-1.4,25.97,17.0,42.76,8.22,6.04,Burmese,parliamentary republic,mixed legal system of English common law (as introduced in codifications designed for colonial India) and customary law,53.0,24.0,57.0,79.0,30.68,110.0,2.9,over half of Burma's population consists of diverse ethnic groups who have substantial numbers of kin in neighboring countries
Burundi,"equatorial; high plateau with considerable altitude variation (772 m to 2,670 m above sea level); average annual temperature varies with altitude from 23 to 17 degrees Celsius but is generally moderate as the average altitude is about 1,700 m; average annual rainfall is about 150 cm; two wet seasons (February to May and September to November), and two dry seasons (June to August and December to January)",nickel,one of Africa's most densely populated countries; concentrations tend to be in the north and along the northern shore of Lake Tanganyika in the west; most people live on farms near areas of fertile volcanic soil,-0.8,43.83,19.76,29.18,4.17,3.06,Kirundi only ; French only .3% ; Swahili only .2%; English only .1% ; Kirundi and French 8.4%; Kirundi,presidential republic,mixed legal system of Belgian civil law and customary law,164.0,196.0,7.6,186.0,2.66,56.0,1.8,"Burundi and Rwanda dispute two sq km (0.8 sq mi) of Sabanerwa, a farmed area in the Rukurazi Valley where the Akanyaru/Kanyaru River shifted its course southward after heavy rains in 1965"
Cabo Verde,"temperate; warm, dry summer; precipitation meager and erratic",salt,"among the nine inhabited islands, population distribution is variable; islands in the east are very dry and are only sparsely settled to exploit their extensive salt deposits; the more southerly islands receive more precipitation and support larger populations, but agriculture and livestock grazing have damaged the soil fertility and vegetation; approximately half of the population lives on Sao Tiago Island, which is the location of the capital of Praia; Mindelo, on the northern island of Sao Vicente, also has a large urban population",-0.6000000000000001,27.95,18.69,40.76,7.12,5.48,Portuguese,parliamentary republic,civil law system of Portugal,182.0,75.0,92.6,171.0,58.17,107.0,0.5,none
Cambodia,"tropical; rainy, monsoon season (May to November); dry season (December to April); little seasonal temperature variation",oil,"population concentrated in the southeast, particularly in and around the capital of Phnom Penh; further distribution is linked closely to the Tonle Sap and Mekong Rivers",-0.30000000000000004,30.18,17.28,41.51,6.44,4.59,Khmer,parliamentary constitutional monarchy,"civil law system (influenced by the UN Transitional Authority in Cambodia) customary law, Communist legal theory, and common law",104.0,20.0,49.8,119.0,40.0,118.0,2.3,Cambodia is concerned about Laos' extensive upstream dam construction
Cameroon,"varies with terrain, from tropical along coast to semiarid and hot in north",petroleum,"population concentrated in the west and north, with the interior of the country sparsely populated",-0.30000000000000004,42.34,20.04,30.64,3.87,3.11,major African language groups,presidential republic,"mixed legal system of English common law, French civil law, and customary law",88.0,98.0,60.1,122.0,23.2,70.0,1.1,"Joint Border Commission with Nigeria reviewed 2002 ICJ ruling on the entire boundary and bilaterally resolved differences, including June 2006 Greentree Agreement that immediately ceded sovereignty of the Bakassi Peninsula to Cameroon with a full phase-out of Nigerian control and patriation of residents in 2008"
Canada,varies from temperate in south to subarctic and arctic in north,bauxite,"vast majority of Canadians are positioned in a discontinuous band within approximately 300 km of the southern border with the United States; the most populated province is Ontario, followed by Quebec and British Columbia",5.6,15.99,11.14,39.81,14.08,18.98,English,federal parliamentary democracy (Parliament of Canada) under a constitutional monarchy; a Commonwealth realm; federal and state authorities and responsibilities regulated in constitution,"common law system except in Quebec, where civil law based on the French civil code prevails",17.0,112.0,100.0,8.0,91.0,90.0,1.31,"managed maritime boundary disputes with the US at Dixon Entrance, Beaufort Sea, Strait of Juan de Fuca, and the Gulf of Maine, including the disputed Machias Seal Island and North Rock"
Cayman Islands,"tropical marine; warm, rainy summers (May to October) and cool, relatively dry winters (November to April)",fish,majority of the population resides on Grand Cayman,13.0,17.75,11.86,41.37,14.78,14.24,English,parliamentary democracy; self-governing overseas territory of the UK,English common law and local statutes,192.0,163.0,100.0,174.0,79.0,164.0,None,none
Central African Republic,"tropical; hot, dry winters; mild to hot, wet summers",diamonds,"majority of residents live in the western and central areas of the country, especially in and around the capital of Bangui as shown in this population distribution map",0.0,39.49,19.89,32.95,4.32,3.35,French,presidential republic,civil law system based on the French model,185.0,67.0,14.0,197.0,4.34,22.0,1.5,periodic skirmishes persist over water and grazing rights among related pastoral populations along the border with southern Sudan
Chad,"tropical in south, desert in north",petroleum,"the population is unevenly distributed due to contrasts in climate and physical geography; the highest density is found in the southwest, particularly around Lake Chad and points south; the dry Saharan zone to the north is the least densely populated",-0.1,47.43,19.77,27.14,3.24,2.43,French,presidential republic,mixed legal system of civil and customary law,134.0,211.0,8.8,192.0,6.5,44.0,2.2,"since 2003, ad hoc armed militia groups and the Sudanese military have driven hundreds of thousands of Darfur residents into Chad"
Chile,temperate; desert in north; Mediterranean in central region; cool and damp in south,copper,90% of the population is located in the middle third of the country around the capital of Santiago; the far north (anchored by the Atacama Desert) and the extreme south are relatively underpopulated,0.30000000000000004,19.79,13.84,42.58,11.98,11.81,Spanish,presidential republic,civil law system influenced by several West European civil legal systems; judicial review of legislative acts by the Constitutional Tribunal,44.0,170.0,100.0,37.0,82.33,140.0,1.8,"Chile and Peru rebuff Bolivia's reactivated claim to restore the Atacama corridor, ceded to Chile in 1884, but Chile has offered instead unrestricted but not sovereign maritime access through Chile to Bolivian natural gas"
