,country,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants,protesteridentity,sources,notes,final,ignore,crowd dispersal,arrests,accomodation,shootings,beatings,killings,"political behavior, process",labor wage dispute,"price increases, tax policy",removal of politician,police brutality,land farm issue,social restrictions
8346,Guinea-Bissau,2017,Africa,1,2,25.0,3.0,2017.0,25.0,3.0,2017.0,0.0,Bissau,100s,anti government protestors,"thousands of protesters call for guinea bissau leader to quit saudi press agency spa , march 26, 2017 sunday, 145 words;","protesters marched through bissau s streets lined with hedges and palm trees singing and shouting jomav out!, using an abbreviation for the president s name. the protest followed a smaller one two weeks ago also demanding that vaz quit. the former portuguese colony has not convened parliament for more than a year and public anger is growing at the failure of locally mediated talks to resolve deep rivalries within the political elite. vaz has yet to react to the protests, but he has defended his record in government and says he has cracked down on graft.",ignore,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8347,Guinea-Bissau,2018,Africa,1,1,11.0,7.0,2018.0,11.0,7.0,2018.0,0.0,From the outskirts of the capital Bissau to its centre,100s,civil servants organised by the union of guinea bissau workers untg demanding a hike in the minimum wage and better living conditions,"public workers in guinea bissau march for higher wages, agence france presse english, july 11, 2018 wednesday 3:38 pm gmt","hundreds of civil servants took to the streets of guinea bissau on wednesday to demand a hike in the minimum wage and better living conditions. the protest was organised by the union of guinea bissau workers untg , which regroups 8,000 out of the west african country s 13,000 civil servants. demonstrators marched from the outskirts of the capital bissau to its centre, chanting down with lawmakers paid to do nothing and we demand decent wages and better conditions, an afp journalist saw.",ignore,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8348,Guinea-Bissau,2019,Africa,1,1,15.0,5.0,2019.0,15.0,5.0,2019.0,0.0,Bissau,50+,paigc party supporters calling on president jose mario vaz to nominate their party leader domingos simoes pereira as prime minister,"g.bissau protesters keep up pressure on president to name pm, agence france presse english, may 25, 2019 saturday 3:59 pm gmt, 307 words, bissau, may 25 2019","supporters of guinea bissau s ruling paigc party rallied saturday to pressure president jose mario vaz to name their party leader domingos simoes pereira prime minister after an election win in march. led by pereira, over a thousand party supporters rallied, marching from a suburb of the capital bissau to the port area two kilometres away. they carried placards and shouted slogans against the president, who has not reinstated his estranged ally. pereira also called on the regional west african bloc ecowas to intervene. saturday s march was the third such protest in less than two weeks. it had been hoped that the march 10 vote would draw a line under a crisis that erupted in august 2015 when vaz also a paigc member sacked pereira, his then prime minister. note: the actual start and end date of the protest event is not provided in the source, and is based on prior coding decisions. note: the actual number of protesters was not included in the source, and is based on prior coding decisions.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8349,Guinea-Bissau,2019,Africa,1,2,22.0,5.0,2019.0,22.0,5.0,2019.0,0.0,Bissau,1000s,paigc party supporters calling on president jose mario vaz to nominate party leader domingos simoes pereira as prime minister,"g. bissau protesters call for election winner to form government, agence france presse english, may 22, 2019 wednesday 3:07 pm gmt, 318 words, bissau, may 22 2019","thousands of supporters of guinea bissau s historic ruling paigc party protested in the capital on wednesday calling on president jose mario vaz to nominate party leader domingos simoes pereira as prime minister after an election victory back in march. it had been hoped that the march 10 vote would draw a line under a crisis that erupted in august 2015 when vaz also a paigc member sacked pereira, his then prime minister. but despite coming top in the election, winning 47 of parliament s 102 seats and 46 percent of the popular vote, the african party for the independence of guinea and cape verde paigc has not yet been given the chance to form a coalition government. wednesday s protest coincided with a new three day strike of public and utilities sector workers over unpaid wages and working conditions. the demonstrators gathered in a northern suburb of bissau and marched to the port area, with pereira and other paigc officials participating. protesters wore t shirts and hoisted banners emblazoned with the slogan: the people demand the immediate nomination of a prime minister . police were posted outside the presidential palace and nearby roads were closed to traffic.",crowd dispersal,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8350,Guinea-Bissau,2019,Africa,1,3,25.0,5.0,2019.0,25.0,5.0,2019.0,0.0,Bissau,>1000,paigc party supporters calling on president jose mario vaz to nominate their party leader domingos simoes pereira as prime minister,"g.bissau protesters keep up pressure on president to name pm, agence france presse english, may 25, 2019 saturday 3:59 pm gmt, 307 words, bissau, may 25 2019","supporters of guinea bissau s ruling paigc party rallied saturday to pressure president jose mario vaz to name their party leader domingos simoes pereira prime minister after an election win in march. led by pereira, over a thousand party supporters rallied, marching from a suburb of the capital bissau to the port area two kilometres away. they carried placards and shouted slogans against the president, who has not reinstated his estranged ally. pereira also called on the regional west african bloc ecowas to intervene. saturday s march was the third such protest in less than two weeks. it had been hoped that the march 10 vote would draw a line under a crisis that erupted in august 2015 when vaz also a paigc member sacked pereira, his then prime minister. there was tight security with a heavy police presence in the capital on saturday. roads around the presidential palace were cordoned off.",crowd dispersal,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8351,Guinea-Bissau,2019,Africa,1,4,26.0,10.0,2019.0,26.0,10.0,2019.0,1.0,Bissau,1000s,opposition supporters calling for a delay to next month s presidential election,"protester killed as police block guinea bissau rally, agence france presse english, october 26, 2019 saturday 2:31 pm gmt, 344 words, bissau, oct 26 2019","police in guinea bissau on saturday blocked opposition supporters from holding a demonstration calling for a delay to next month s presidential election, with one protester killed and several injured. police used batons and tear gas to keep protest organisers from the party for social renovation prs inside the party s headquarters, as thousands of marchers converged on the area. the opposition wants the vote postponed in order to allow an overhaul of the electoral register to limit potential voter fraud. demba balde, 48, was in the prs offices when a cordon of police armed with clubs and grenade launchers prevented us from going out to join our friends in the street, the victim s brother alimo balde told afp. there were scuffles and demba was arrested by four police officers who beat him and sprayed him with tear gas. he fell, bloodied, and was struggling to breathe. we tried to bring him round but sadly he passed away before arrival at the hospital, alimo balde said. a picture of the man seen by afp showed him on the ground with a pool of blood around his head. a nurse at the main morgue in bissau said that they had received the body and it carried signs of beating . several other people were injured when police fired tear gas to disperse marchers, an afp correspondent reported.",killings,0,1,0,0,0,1,1,1,0,0,0,0,0,0
8355,Equatorial Guinea,1992,Africa,1,1,3.0,12.0,1992.0,3.0,12.0,1992.0,0.0,Bata,>50,students,"child demonstrator killed, others tortured: opposition. agence france presse english. 105 words. december 3, 1992 .;","the director of studies, spanish priest father teodoro, resigned after the incident. the pupils at the carlos lwanga school then took to the streets in protest, demanding his reinstatement, the opposition statement said.",beatings,0,0,1,0,0,1,1,1,0,0,0,0,0,0
8356,Equatorial Guinea,1993,Africa,1,1,2.0,12.0,1993.0,2.0,12.0,1993.0,0.0,Sampaka,200,bubis,"equatorial guinean regime arrests leader of ethnic minority. associated press worldstream. december 02, 1993 , thursday : 476 words.;",some 200 bubis gathered to protest looba s arrest at the military post in sampaka. the spanish news agency efe reported no serious incidents at the gathering.,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8363,Equatorial Guinea,2000,Africa,1,1,4.0,9.0,2000.0,4.0,9.0,2000.0,0.0,Malabo,160,farmers,"equatorial guinea farmers in sit in protest over non payment agence france presse english, 194 words;",farmers protesting lack of payment from government for goods purchased by the government.,ignore,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8376,Equatorial Guinea,2013,Africa,1,1,15.0,5.0,2013.0,15.0,5.0,2013.0,0.0,Malabo,200,demonstrators,"police break up opposition protest in equatorial guinea agence france presse english, may 15, 2013 wednesday 2:53 pm gmt, 341 words ;",protesters calling for the removal of the president and maltreatment from the regime.,arrests,0,1,1,0,0,0,0,1,0,0,1,0,0,0
8385,Gambia,1991,Africa,1,1,14.0,6.0,1991.0,14.0,6.0,1991.0,0.0,Banjul,60,soldiers military veterans,"1. world in brief dismissal demanded. the globe and mail canada . june 15, 1991 saturday : 44 words 2. africa news summary; tuesday, june 25, 1991. agence france presse english. 209 words.;","1. source sixty disgruntled gambian soldiers, veterans of the liberia conflict, marched on the presidency in banjul yesterday demanding the dismissal of the tiny west african country s army commander colonel ndaw njie and the reinstatement of major sheikh omay fye. reuter the news source does not give any information about state s response. i still made an assumption that this was a peaceful protest. and that s why i prefer to code state response as a ignore . 2. source gambia s army commander col. momodou njie was retired following demonstrations by soldiers who served in the west african intervention force in liberia protesting their allowances were unpaid. afp",ignore,1,0,0,1,0,0,0,1,0,0,0,0,0,0
8388,Gambia,1994,Africa,1,1,22.0,7.0,1994.0,22.0,7.0,1994.0,0.0,Banjul,> 500,soldiers,"1. gambian troops in pay riot. press association. july 22, 1994 , friday : 369 words 2. gambian troops riot over pay. the herald glasgow . july 23, 1994 : 78 words 3. soldiers take over in gambia; 2,000 uk tourists trapped. the independent london . july 24, 1994 , sunday : 671 words 4. gambia politics: multiparty advocate s tolerance was his undoing. ips inter press service. july 25, 1994 , monday : 1169 words;","the protests by soldiers has started due to low wage. however, in other sources it is obvious that there is a secondary reason, which is corruption. after protests have started, the head of the state and some of the ministers decided to leave the country and settle in neighbor country senegal. therefore, protests turned to a so called accidental coup. even though it is a coup i am coding the protest since there is a sequence of events. i also code the state response as ignore since it is a bloodless protest and coup.",ignore,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8394,Gambia,2000,Africa,1,1,10.0,4.0,2000.0,10.0,4.0,2000.0,1.0,National,100s,students,"urgent at least four dead in student protests in gambia agence france presse english, 739 words gambian police open fire on student demonstration the associated press, april 10, 2000, monday, am cycle, international news, 348 words, by demba jawo, associated press writer 2 similar documents identified calm returns to gambian capital after bloody clashes agence france presse english, 1003 words;","protesters came out in protest of the torture and killing of a student by security forces and the rape of a 13 year old girl by a police officer. the police fired tear gas to disperse the protesters. however the protesters returned and turned violent. in response to the regrouping police fired live ammunition killing a number of students, protests occurred in the capital banjul but the last article also notes that similar protests took place in other parts of the country.",crowd dispersal,0,1,0,0,1,0,1,0,0,0,0,1,0,0
8395,Gambia,2000,Africa,1,2,11.0,4.0,2000.0,14.0,4.0,2000.0,1.0,National,100s,students and bandits,"death toll in gambia student protest now 14, could rise agence france presse english, 572 words gambian vice president blames students for unrest agence france presse english, 535 words gambia s president arrives in banjul after bloody unrest agence france presse english, 191 words gambian journalists pursue fight for press freedom after death of colleague criticism of violence by security forces on the smiling coast was overshadowed by wars elsewhere, writes allen meagher the irish times, may 22, 2000, city edition; world news; pg. 14, 1093 words gambian president blasts opponents over student protests agence france presse english, 169 words;","protesters came out and rioted in response to the shooting and killing of protesters the previous day. while the protests the previous day were made up mostly of students, today they were joined by ? bandits and other marginal people? ? according to the article. protests occurred throughout the country. killings only occurred on the first day. also the third article describes ongoing violence throughout the week and describes the police response on thursday as ? intolerable butchery.? ? i marked the end of the protests as occurring friday since the article for sunday did not mention protests that day or the day before, however it does say there was a ? week marked by violent clashes.? ?",crowd dispersal,0,1,1,0,1,0,1,0,0,0,0,1,0,0
8402,Gambia,2007,Africa,1,1,10.0,6.0,2007.0,10.0,6.0,2007.0,0.0,Serrekunda,100s,protesters,"teargas used to break anti police demos in gambia agence france presse english, may 10, 2007 thursday 8:54 pm gmt, 142 words;",hundreds of protesters dispersed by teargas as they demonstrated against the alleged killing of a man by security forces.,crowd dispersal,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8411,Gambia,2016,Africa,1,1,14.0,4.0,2016.0,14.0,4.0,2016.0,0.0,Serrekunda,50+,udp,"arrest of solo sandeng and others at westfield protest foroyaa newspaper serrekunda , april 15, 2016, 370 words, mamour m. mbenga;","dozens of protestors calling for electoral reform at the westfield junction in serrekunda yesterday afternoon, 14 april were dispersed by the police and a number of them including solo sandeng of the udp were arrested. later on around 3pm a police truck with dozens of police intervention unit officers arrived. they started dispersing the crowd, beating and arresting them as they did so. the arrestees were whisked away.",arrests,0,1,1,0,0,1,0,1,0,0,0,0,0,0
8412,Gambia,2016,Africa,1,2,16.0,4.0,2016.0,16.0,4.0,2016.0,1.0,Serrekunda,50+,udp,"where is ousainou darboe and his co executive members? foroyaa newspaper serrekunda , april 18, 2016, 85 words lawyer darboe, party executives arrested amid protest foroyaa newspaper serrekunda , april 18, 2016, 964 words, kebba jeffang;","the arrest of ousainou darboe, the leader of the udp, and members of his executive came as a result of a protest emanating from the fear that solo sandeng has been tortured to death. the state needs to do diligent investigation and inform the public of the truth. april 16th saturday all of a sudden, the situation descended into chaos as the marchers and security engaged in a scuffle which led to beatings with batons, rifle butts and the firing of tear gas by the security and stone throwing by marchers. the security started using force in arresting some of the marchers who were being physically assaulted and thrown into waiting trucks and pick up vehicles while chasing of others who ran into the adjoining side streets.",arrests,0,1,1,0,0,1,0,1,0,0,0,1,0,0
8413,Gambia,2017,Africa,1,1,10.0,4.0,2017.0,10.0,4.0,2017.0,0.0,Greater Banjul areas,50+,student protesters and teachers,"april 10 & 11 will justice be served?, the daily observer banjul , april 11, 2017, 364 words;","student protesters in the greater banjul areas yesterday did a valuable service when they took to the streets, demanding justice for students who lost their lives in 10th 11th countrywide students demonstration in 2000. the procession brings fresh memories after 17 years, in a demonstration that left over a dozen students dead. it s yet unclear who ordered their killings. yesterday, students and teachers were out in the street demanding that justice be served. this, however, marks the first anniversary since the incident took place. it all began with a march past from gtti towards mdi road in kanifing, towards kairaba avenue and ended at the westfield youth monument. note: the actual number of protesters was not included in the source, and is based on prior coding decisions",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8414,Gambia,2017,Africa,1,2,20.0,5.0,2017.0,20.0,5.0,2017.0,0.0,Kartong,50+,members of the communities of gunjur and kartong chanting protect our environment,"protect our environment protesters tell nea, foroyaa newspaper serrekunda , may 24, 2017, 429 words, hatab nyang;","protect our environment was the slogan demonstrators chanted in kartong, during a peaceful demonstration by members of the communities of gunjur and kartong, on the 20th may, 2017. addressing the demonstrators, lawyer ebrima jaiteh thanked everyone who participated in the demonstration to exercise civic liberties, duties and responsibilities. mr. jaiteh told demonstrators that they did not do anything that contravenes the law, but were exercising their civic duty peacefully, for the protection of their environment, even without a permit. so we don t need a permit to come out and show our dissatisfaction with what is going on in our immediate environment, said lawyer jaiteh. he continued to say that environmental pollution is a slow killer. lawyer jaiteh went further to say that no amount of fear should prevent good citizens from demonstrating peacefully to show their dissatisfaction on anything that affects their lives; that this is a right that is enshrined in the supreme laws of our land. mr. badara bajo, director of environmental protection development group gepa dg , commended the demonstrators for the peaceful march to show their dissatisfaction regarding recent happenings within their communities. mr. bajo praised the people of kartong in the way and manner they expressed their concerns and said this should put an immediate stop to the illegal fishing and dumping of rotten fish on beaches and roadsides; that factories should limit themselves to their capacities. note: the actual number of protesters was not provided in the source, and is based on prior coding decisions",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
