country,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants,protesteridentity,sources,notes,final,ignore,crowd dispersal,arrests,accomodation,shootings,beatings,killings,"political behavior, process",labor wage dispute,"price increases, tax policy",removal of politician,police brutality,land farm issue,social restrictions
Canada,1994,North America,1,1,1.0,9.0,1994.0,1.0,9.0,1994.0,0.0,Ottawa,10000,gun owners and supporters,"1. the washington post, gun lobby strengthens in canada, anne swardson, washington post foreign service, october 4, 1994, tuesday, final edition, first section; page a14, 716 words;","last month, 10,000 gun owners and supporters went to parliament hill in ottawa to demonstrate against broader controls. waving banners reading see you on election day, they booed justice minister allan rock when he addressed them. taking a cue from the national rifle association in the united states, canadian gun owners have deluged members of parliament with letters, faxes and telephone calls.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Canada,1994,North America,1,2,18.0,11.0,1994.0,18.0,11.0,1994.0,0.0,Ottawa,6000,students,"1. the washington post, canada budget threatens college costs, anne swardson, washington posign service, november 21, 1994, monday, final edition, first section; page a18, 831 words;","when 6,000 students marched on ottawa last week they came armed and used their weapons. they tossed raw eggs, orange peels, uncooked macaroni and obscenities at human resources minister lloyd axworthy when he tried to reason with the crowd...the students were protesting increases in university tuition that axworthy is considering...axworthy s proposals are not final, but there seems little doubt that tuitions will rise.",ignore,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Canada,1995,North America,1,1,20.0,2.0,1995.0,20.0,2.0,1995.0,0.0,"Pickering, Ontario",3000,unspecified,"1. the washington post, canadians usual reserve boils over anticipated higher taxes, anne swardson, washington post foreign service, february 26, 1995, sunday, final edition, a section; a22, ,, 743 words;","the 3,000 plus people who rallied here one evening last week wanted to make sure canada s government knew they weren t going to stand for tax increases. even before the meeting began, they waved signs, passed out leaflets and signed petitions opposing new taxes, which many in canada believe the government plans to impose soon. two members of parliament from the governing liberal party who attempted to speak to the group provoked boos, jeers and hisses. no more taxes, thundered the protesters, jumping out of their chairs. go, go, go, they hollered at one of the members who would not promise to vote against any tax increase his prime minister might propose. a wave of grass roots protest has swept through the traditionally complacent canadian electorate, with thousands of citizens warning they will not stand for higher taxes just as the government is preparing a budget that may call for more revenue.",ignore,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Canada,1995,North America,1,2,8.0,9.0,1995.0,8.0,9.0,1995.0,1.0,"Ipperwash Provincial Park, Ontario",100s,chippewa indians,"1. the washington post, canadian police fatally shoot indian activist; land claims spark numerous conflicts, anne swardson, washington post foreign service, september 08, 1995, friday, final edition, a section; pg. a29, 945 words;","ontario provincial police fatally shot an indian protester and wounded two others today during a clash at a park near the michigan border that local indians claim is the site of an ancestral burial ground. the incident, which drew hundreds of indians and riot equipped policemen to the scene, was the most violent of a number of conflicts between indians and police all across canada this summer...the incident grew out of an occupation of ipperwash provincial park by a group of about 50 chippewa indians from the kettle and stoney point bands who claim the park was a sacred indian burial ground. ontario police said they fired only after indians driving a school bus and a car crashed through a fence and drove straight at a police detachment, injuring one officer. a spokesman for the protesters told the canadian press that the indians had no weapons and that the bus was in reverse when it was hit by police gunfire...in the aftermath, hundreds of indians converged on the park to join in the occupation, while some tribal leaders sought to negotiate a resolution to the conflict. about 100 police officers surrounded the area last night, and nearby residents were evacuated.",shootings,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Canada,1996,North America,1,1,26.0,10.0,1996.0,26.0,10.0,1996.0,0.0,"Toronto, Ontario",1000s,labor unions,"1. protesters take to streets to defend canada s safety net the new york times, october 26, 1996, saturday, late edition final, section 1; page 3; column 1; foreign desk , 1106 words, by anthony depalm;","canadians do not easily take to the streets; it s just not their way. but today thousands of angry people paralyzed parts of canada s largest city to protest government actions that they say threaten the core of what canada stands for. protesters managed to shut down toronto s subway, bus and streetcar system, stranding the 600,000 commuters who normally use public transportation. highways leading to the lester b. pearson international airport were jammed by drivers who deliberately slowed traffic to a crawl. a third of the city s public school teachers did not show up for work, and police officers were needed to keep hundreds of protesters from disrupting the toronto stock exchange. the direct target of the protests was the new provincial government and its leader, mike harris, who has become a darling of wall street by slashing almost 1 billion from ontario s budget, dropping more than 180,000 people from welfare rolls and promising to shrink income taxes 30 percent. eventually the spending cuts will reach nearly 6 billion, but achieving that goal will mean closing hospitals, raising university tuition and laying off civil servants, among other measures. labor unions and community groups wanted to send mr. harris a message that they considered the cuts mean spirited and excessive.",ignore,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Canada,1997,North America,1,1,28.0,10.0,1997.0,9.0,11.0,1997.0,0.0,Ontario,126000,ontario teachers federation,"1. teachers strike in ontario, closing thousands of schools the new york times, october 28, 1997, tuesday, late edition final, section a; page 8; column 3; foreign desk , 472 words, by anthony depalma 2. the washington post, ontario schools closed by strike; teachers union acts to block premier s plan to shift control, howard schneider, washington post foreign service, october 28, 1997, tuesday, final edition, a section; pg. a12, 954 words 3. the washington post, striking ontario teachers fear loss of services, howard schneider, washington post foreign service, november 06, 1997, thursday, final edition, a section; pg. a32, 863 words 4. the washington post, ontario s teachers end strike; move failed to halt restructuring plan, howard schneider, washington post foreign service, november 11, 1997, tuesday, final edition, a section; pg. a26, 562 words;","ontario s 126,000 teachers shut down schools today with a massive walkout aimed at blocking the provincial government s plans to reorganize how canada s largest school system is run. in what could be the most telling in a series of labor actions against the conservative government of premier mike harris, the teachers strike promises to test whether ontarians support his aggressive attack on the province s budget deficit or feel he has moved too quickly and cut too deeply into social, health and education programs...throughout the province, teachers picketed in snow and chill winds, closing schools to classes and after school community events.",ignore,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Canada,1997,North America,1,2,19.0,11.0,1997.0,4.0,12.0,1997.0,0.0,national,45000,canadian union of postal workers,"1. canada s mail workers to return to work the new york times, december 4, 1997, thursday, late edition final, section a; page 3; column 2; foreign desk , 177 words, reuters ;","canada s 45,000 striking postal workers said today that they would obey legislation forcing them to return to work, but would deliver the mail without checking that the proper postage had been paid. the house of commons passed a bill this week to force the postal employees to resume work by friday and end a strike that began on nov. 19.",ignore,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Canada,2000,North America,1,1,22.0,2.0,2000.0,23.0,2.0,2000.0,1.0,"Quebec City, Quebec",2000,french speaking youths,"1. world briefing the new york times, february 24, 2000, thursday, late edition final, section a; page 10; column 1; foreign desk, 1058 words, compiled by joseph r. gregory;","hundreds of french speaking youths disrupted a youth conference yesterday organized by separatists in quebec city. on tuesday night some 2,000 protesters hurled snowballs and molotov cocktails at the police, injuring a policeman. many young people complain that provincial politicians spend too much time pursuing political autonomy while under financed high schools have some of the highest dropout rates in north america.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Canada,2000,North America,1,2,26.0,2.0,2000.0,26.0,2.0,2000.0,0.0,"Saskatoon, Saskatchewan",400,unspecified,"1. the washington post, indian deaths compound troubles in a canadian prairie city, steven pearlstein , washington post foreign service, february 28, 2000, monday, final edition, a section; pg. a09, 1259 words;","this protest followed multiple deaths of young indian men who were picked up by police when drunk and dropped in fields in the middle of winter and subsequently froze to death. over the weekend, 400 people about half of them white, half of them indian participated in a candlelight march of protest and solidarity through town to police headquarters.",accomodation,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Canada,2000,North America,1,3,9.0,5.0,2000.0,9.0,5.0,2000.0,0.0,"Edmonton, Alberta",500,unspecified,"1. a crossroads in canadian health care the new york times, may 9, 2000, tuesday, late edition final, section f; page 8; column 1; health & fitness , 925 words, by james brooke ;","with other opinion polls indicating that canadians view health care as the nation s top issue, ralph klein, the popular premier of alberta, unveiled a bill in march that americans might consider cautious. after a preamble outlawing private hospitals, the bill goes on to allow overnight stays in surgical clinics. it is touching the so called third rail; it is opening up the debate on health care, mr. klein, a conservative, said on tuesday as he wearily prepared for an eighth night of protesters outside the legislature, chanting kill the bill. under the bill, expected to be passed on may 11, the government would reimburse private clinics for performing the same surgeries performed in government hospitals. at a rally tuesday night, attended by about 500 people, there were two common themes: that canada s socialized medical system had faltered because conservative governments had starved it of cash, and that private surgical clinics would open the door for the americanization of canadian health care.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Canada,2000,North America,1,4,16.0,6.0,2000.0,16.0,6.0,2000.0,1.0,"Toronto, Ontario",10s,anti poverty protesters,"1. world briefing the new york times, june 16, 2000, friday, late edition final, section a; page 6; column 4; foreign desk, 988 words, compiled by terence neilan;","anti poverty protesters fought with the police outside the ontario legislature in toronto. several people were injured and at least three were arrested. protesting the austerity policies of ontario s conservative government, demonstrators, some obscuring their faces with bandannas, gas masks or helmets, attacked the police with rocks, bricks and paint bombs. the police responded with pepper spray and horseback charges.",crowd dispersal,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Canada,2003,North America,1,1,3.0,5.0,2003.0,3.0,5.0,2003.0,1.0,"Shippagan, New Brunswick",250,crab fishermen,"1. canada fishermen protest change in government quotas the new york times, may 11, 2003 sunday, section 1; column 1; foreign desk; pg. 3, 905 words, by clifford krauss;","the canadian flags that fly above the crab boats have been hoisted upside down, and some are defaced with swastikas. graffiti compares the federal fisheries minister to saddam hussein. four large fishing boats are smoldering snarls of metal engines and wooden hulls, and a processing plant and a government warehouse are charred wrecks. the ruins are the work of 250 crab fishermen who went on a rampage on may 3 to protest a sudden change in federal policy that transferred some of their crab quotas to neighboring lobstermen and to an indigenous group. the rebellion is seen here as something akin to the boston tea party, against a heavy handed government in ottawa. now the shippagan crab fishermen are refusing to leave port and threaten to boycott the entire two month season that was to begin this week. processing plants in the region are shutting down, throwing thousands of people out of work as far away as the gaspe peninsula in quebec and putting 90 million in snow crab exports in jeopardy.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Canada,2005,North America,1,1,3.0,3.0,2005.0,3.0,4.0,2005.0,1.0,Quebec,170000,college students,"1. quebec is shedding image as hotbed of political rest the new york times, april 3, 2005 sunday, section 1; column 1; foreign desk; pg. 16, 1026 words, by clifford krauss;",the scene on fashionable rue st. denis looked as if it came out of another era: hundreds of students staging a sit in in front of a liberal party office and blocking rush hour traffic on a tuesday afternoon. red and black banners flapped as fists pumped in the air. the police surrounded the students in their patrol cars. drivers appeared to patiently accept their inconvenience by not honking. people enjoying the dazzling spring afternoon at outdoor cafes clapped and joined in the chants of protest against cuts in student aid.,arrests,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Canada,2005,North America,1,2,10.0,9.0,2005.0,10.0,9.0,2005.0,0.0,"Toronto, Ontario",300,unspecified,"1. protesters denounce use of sharia in family matters the times london , september 10, 2005, saturday, overseas news; 49, 147 words;","a proposal to allow canadians to use muslim religious law, or sharia, to settle family disputes has provoked protests near and far... homa arjomand, who organised a protest that attracted about 300 people in toronto, said: the rise of sharia in canada...is a threat. women s rights are not negotiable and we will not tolerate the interference of religion in our justice system. ontario has allowed catholic and jewish faith based tribunals to settle family law matters on a voluntary basis since 1991. the practice drew little attention until muslim leaders demanded the same rights. canadian politicians must decide whether to exclude one religion or to scrap the religion based family courts altogether.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Canada,2006,North America,1,1,21.0,2.0,2006.0,17.0,8.0,2006.0,1.0,"Caledonia, Ontario",200,mohawk indians,"1. world briefing americas: canada: police raid native protest the new york times, april 21, 2006 friday, section a; column 5; foreign desk; pg. 8, 92 words, by chris mason nyt 2. mohawks and others block trains in ontario to protest land use the new york times, april 22, 2006 saturday, section a; column 1; foreign desk; pg. 5, 497 words, by clifford krauss 3. 6 native nations, and none have a word for suburbia the new york times, august 17, 2006 thursday, section a; column 3; foreign desk; caledonia journal; pg. 4, 971 words, by christopher mason;","the police in southwestern ontario stormed a group of native canadian protesters to end a standoff that began feb. 28 over a land claim. the police detained 16 protesters but retreated when about 75 more people showed up in response to the raid. by midmorning, hundreds of people from as far away as manitoba arrived to bolster the protest, which has halted construction of a housing development. police action against native canadians has been a delicate issue in ontario since 1995, when a protester was killed by a police sniper.",crowd dispersal,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Canada,2007,North America,1,1,29.0,6.0,2007.0,29.0,6.0,2007.0,0.0,national,1000s,native groups mohawk indians,"1. protests by native groups in canada close road and rail links the new york times, june 30, 2007 saturday correction appended, section a; column 0; foreign desk; pg. 5, 552 words, by ian austen;","canadian travelers faced road closings and rail shutdowns on friday as they set out for the canada day holiday weekend during nationwide protests by native groups against the conservative government over several recent disputes about land claims and financing...most demonstrations on friday, however, mirrored a peaceful march of about 1,000 people past the parliament buildings in ottawa that was led by phil fontaine, the national chief of the assembly of first nations, the main native group.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Canada,2008,North America,1,1,10.0,8.0,2008.0,10.0,8.0,2008.0,1.0,"Montreal, Quebec",100s,unspecified,"1. canada: rioting in montreal the new york times, august 12, 2008 tuesday, section a; column 0; foreign desk; world briefing the americas; pg. 8, 59 words, by ian austen;","three police officers were injured, one shot in the leg, during rioting in montreal that erupted late sunday in response to the killing of an 18 year old by the police the day before. a fire station, fire trucks, cars and about 20 shops were vandalized or set ablaze. an ambulance worker was also injured. about 500 riot police officers quelled the violence.",crowd dispersal,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Canada,2009,North America,1,1,13.0,5.0,2009.0,13.0,5.0,2009.0,0.0,"Toronto, Ontario",12000,tamil canadians,"1. the last stand of sri lanka s tamils in canada? christian science monitor, may 14, 2009, thursday, world; pg. 6, 983 words, susan bourette correspondent;",the protesters demanded that the canadian government apply pressure through sanctions on the sri lankan government to cease violence against tamil civilians.,ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Canada,2009,North America,1,2,10.0,11.0,2009.0,10.0,11.0,2009.0,1.0,"Montreal, Quebec",200,quebec separatists,"1. quebec separatists hurl eggs at prince the times london , november 12, 2009 thursday, news; pg. 19, 447 words, james bone;","protesters hurled eggs and chanted majesty go home as the prince of wales and the duchess of cornwall ventured into the french speaking canadian province of quebec. about 200 separatists scuffled with riot police on tuesday night as they confronted the royal couple, who were visiting the montreal headquarters of the black watch royal highland regiment of canada, which the prince formally commands...the demonstration was organised by the qu becois network of resistance.",arrests,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Canada,2010,North America,1,1,12.0,2.0,2010.0,13.0,2.0,2010.0,1.0,"Vancouver, British Columbia",1500,unspecified,"1. amid protest, torch takes a detour the new york times, february 13, 2010 saturday, section d; column 0; sports desk; rings; pg. 4, 176 words, by ian austen 2. small protest snarls traffic in downtown vancouver the new york times, february 14, 2010 sunday, section sp; column 0; sports desk; rings; pg. 8, 208 words, by ian austen;",the protests were against canada s decision to host the olympic games.,arrests,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Canada,2011,North America,1,1,3.0,7.0,2011.0,3.0,7.0,2011.0,0.0,"Montreal, Quebec",300,quebec separatists,"1. royal couple turn deaf ear to protesters and chat to a friendly punk; royal visit ; demonstrations aside, the pair were made welcome in quebec, writes valentine low the times london , july 4, 2011 monday, news; pg. 4,5, 619 words, valentine low;","a crowd of about 300 protesters staged the noisiest demonstration of the duke and duchess of cambridge s tour of canada yesterday as the couple attended a military ceremony in quebec. blowing horns, whistles and vuvuzelas and shouting anti royal slogans, they were kept a safe distance from the duke and duchess by a squad of riot police. we have nothing against them, said julien gaudreau, a spokesman for the separatist movement, the resistance network of quebec. they are a sweet couple. they can be in love all they want. but more than 70 per cent of the population of quebec want to get rid of the monarchy.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Canada,2012,North America,1,1,10.0,2.0,2012.0,6.0,6.0,2012.0,1.0,Quebec,1000s,university students,"1. quebec plans to suspend classes over student strike the new york times, may 17, 2012 thursday, section a; column 0; foreign desk; pg. 6, 551 words, by ian austen 2. canada: quebec seeks to end protests the new york times, may 18, 2012 friday, section a; column 0; foreign desk; world briefing the americas; pg. 10, 89 words, by ian austen 3. students riot over tuition fees the times london , may 18, 2012 friday, news; pg. 30, 41 words 4. canada: talks over tuition increases and student strike collapse in quebec the new york times, june 1, 2012 friday, section a; column 0; foreign desk; world briefing the americas; pg. 5, 138 words, by ian austen 5. law increases draw of canada protests the new york times, june 6, 2012 wednesday, section a; column 0; foreign desk; pg. 4, 1108 words, by ian austen;",protests were part of a long student strike against the quebec government s plan to raise tuition by 75 percent,crowd dispersal,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Canada,2015,North America,1,1,6.0,10.0,2015.0,6.0,10.0,2015.0,0.0,Whitby,50+,protesters,"agreement shakes up canadian campaign the new york times, october 7, 2015 wednesday, section a; column 0; foreign desk; pg. 12, 837 words, by ian austen;","while campaigning on tuesday in whitby, an ontario city adjacent to the general motors of canada headquarters in oshawa, mr. harper offered the auto industry a billion canadian dollars spread over 10 years to encourage construction of auto assembly plants. as autoworkers held a protest against the agreement outside the factory hosting his campaign stop, mr. harper insisted the pact would expand the industry. we believe that this deal offers enormous benefits for the automobile sector, he said. mr. harper is a canadian politician in government.",ignore,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Canada,2016,North America,1,1,2.0,2.0,2016.0,2.0,2.0,2016.0,0.0,"Parliament Hill, Ottowa; national",250-300,taxi drivers against uber,"taxi drivers of the world unite; anti uber demonstrations clog city streets from u.s. to africa. the toronto star, february 11, 2016 thursday, news; pg. a6, 366 words, oliver sachgau;","ottawa: taxi drivers from toronto were among those who drove to ottawa for a feb. 2 protest at parliament hill, calling on the federal government to step in with regulations. also attending were brampton east mp raj grewal and unifor canada president jerry dias.",ignore,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Canada,2016,North America,1,2,10.0,2.0,2016.0,10.0,2.0,2016.0,0.0,Montreal  Pierre Elliot Trudeau International Airport; national,hundreds,taxi drivers against uber,"cabbies right to back down. the toronto star, february 11, 2016 thursday, editorial; pg. a20, 618 words;","taxi drivers who were threatening to block afternoon rush hour routes on the eve of the city s nba all star weekend have backed away from such reckless action. they were right to drop their ill conceived protest against uber, not just for the sake of stressed commuters but for their own. it was a different story in montreal, where taxi and limousine drivers targeted airport traffic on wednesday morning. hundreds of cabs slowed movement to pierre elliot trudeau international airport. and as far away as london, england, thousands of black cabs brought the city to a standstill in a protest against uber. this issue goes far beyond toronto.",ignore,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Canada,2016,North America,1,3,25.0,2.0,2016.0,25.0,2.0,2016.0,0.0,"Toronto, Ontario",more than 200,canadian union of public employees,"mulcair joins rally for inside workers; as demonstrations continued, outside city workers were voting on four year contract. the toronto star, february 26, 2016 friday, greater toronto; pg. gt2, 532 words, david rider;","more than 200 people including federal ndp leader thomas mulcair and some toronto councillors rallied in front of city hall demanding a fair contract for more than 28,000 city inside workers. flag waving cupe local 79 members chanted work to rule! and no free work on thursday as provincial and national union leaders pledged solidarity with their fight for full time permanent jobs rather than precarious work. but as they talked of unity, 5,400 outside city workers in another cupe local were voting on a proposed four year contract that was 6negotiated by their union leaders. mayor john tory has said that deal should also be good enough for the inside workers.",ignore,1,0,0,0,0,0,0,0,1,0,0,0,0,0
