country,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual,transnational_disputes
Arctic Ocean,"polar climate characterized by persistent cold and relatively narrow annual temperature range; winters characterized by continuous darkness, cold and stable weather conditions, and clear skies; summers characterized by continuous daylight, damp and foggy weather, and weak cyclones with rain or snow","['sand', 'gravel aggregates', 'placer deposits', 'polymetallic nodules', 'oil', 'gas fields', 'fish', 'marine mammals', 'seals', 'whales']",,,,,,,,None,,,,,,,,,,"['Canada and the US dispute how to divide the Beaufort Sea and the status of the Northwest Passage but continue to work cooperatively to survey the Arctic continental shelf', 'Denmark (Greenland) and Norway have made submissions to the Commission on the Limits of the Continental shelf (CLCS) and Russia is collecting additional data to augment its 2001 CLCS submission', 'record summer melting of sea ice in the Arctic has renewed interest in maritime shipping lanes and sea floor exploration', 'Norway and Russia signed a comprehensive maritime boundary agreement in 2010']"
Argentina,mostly temperate; arid in southeast; subantarctic in southwest,"['fertile plains of the pampas', 'lead', 'zinc', 'tin', 'copper', 'iron ore', 'manganese', 'petroleum', 'uranium', 'arable land']",one-third of the population lives in Buenos Aires; pockets of agglomeration occur throughout the northern and central parts of the country; Patagonia to the south remains sparsely populated,-0.1,24.02,15.19,39.6,9.07,12.13,"[{'name': 'Spanish', 'note': 'official'}, {'name': 'Italian'}, {'name': 'English'}, {'name': 'German'}, {'name': 'French'}, {'name': 'indigenous', 'note': 'Mapudungun, Quechua'}]",presidential republic,"civil law system based on West European legal systems; note - in mid-2015, Argentina adopted a new civil code, replacing the old one in force since 1871",28.0,117.0,100.0,27.0,74.29,131.0,"[{'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.8, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2015'}]","['Argentina continues to assert its claims to the UK-administered Falkland Islands (Islas Malvinas), South Georgia, and the South Sandwich Islands in its constitution, forcibly occupying the Falklands in 1982, but in 1995 agreed to no longer seek settlement by force', 'UK continues to reject Argentine requests for sovereignty talks', 'territorial claim in Antarctica partially overlaps UK and Chilean claims', 'uncontested dispute between Brazil and Uruguay over Braziliera/Brasiliera Island in the Quarai/Cuareim River leaves the tripoint with Argentina in question', ""in 2010, the ICJ ruled in favor of Uruguay's operation of two paper mills on the Uruguay River, which forms the border with Argentina"", 'the two countries formed a joint pollution monitoring regime', 'the joint boundary commission, established by Chile and Argentina in 2001 has yet to map and demarcate the delimited boundary in the inhospitable Andean Southern Ice Field (Campo de Hielo Sur)', 'contraband smuggling, human trafficking, and illegal narcotic trafficking are problems in the porous areas of the border with Bolivia']"
Armenia,"highland continental, hot summers, cold winters","['gold', 'copper', 'molybdenum', 'zinc', 'bauxite']","most of the population is located in the northern half of the country; the capital of Yerevan is home to more than five times as many people as Gyumri, the second largest city in the country",-5.5,18.64,11.63,43.04,14.08,12.6,"[{'name': 'Armenian', 'percent': 97.9, 'note': 'official'}, {'name': 'Kurdish', 'percent': 1, 'note': 'spoken by Yezidi minority'}, {'name': 'other', 'percent': 1}]",parliamentary democracy; note - constitutional changes adopted in December 2015 transformed the government to a parliamentary system,civil law system,136.0,12.0,100.0,86.0,64.74,118.0,"[{'value': 4.9, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 4.9, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 3.8, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 4.1, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 4.2, 'units': 'percent_of_gdp', 'date': '2015'}]","['the dispute over the break-away Nagorno-Karabakh region and the Armenian military occupation of surrounding lands in Azerbaijan remains the primary focus of regional instability', 'residents have evacuated the former Soviet-era small ethnic enclaves in Armenia and Azerbaijan', 'Turkish authorities have complained that blasting from quarries in Armenia might be damaging the medieval ruins of Ani, on the other side of the Arpacay valley', 'in 2009, Swiss mediators facilitated an accord reestablishing diplomatic ties between Armenia and Turkey, but neither side has ratified the agreement and the rapprochement effort has faltered', 'local border forces struggle to control the illegal transit of goods and people across the porous, undemarcated Armenian, Azerbaijani, and Georgian borders', 'ethnic Armenian groups in the Javakheti region of Georgia seek greater autonomy from the Georgian Government']"
Aruba,tropical marine; little seasonal temperature variation,"['NEGL', 'white sandy beaches foster tourism']",most residents live in or around Oranjestad and San Nicolaas; most settlments tend to be located on the less mountainous western side of the island,8.4,17.55,12.06,40.54,14.79,15.05,"[{'name': 'Papiamento', 'percent': 69.4, 'note': 'official; a creole language that is a mixture of Portuguese, Spanish, Dutch, English, and, to a lesser extent, French, as well as elements of African languages and the language of the Arawak'}, {'name': 'Spanish', 'percent': 13.7}, {'name': 'English', 'percent': 7.1, 'note': 'widely spoken'}, {'name': 'Dutch', 'percent': 6.1, 'note': 'official'}, {'name': 'Chinese', 'percent': 1.5}, {'name': 'other', 'percent': 1.7000000000000002}, {'name': 'unspecified', 'percent': 0.4}]",parliamentary democracy; part of the Kingdom of the Netherlands,civil law system based on the Dutch civil code,180.0,180.0,95.6,159.0,97.17,126.0,,['none']
Ashmore And Cartier Islands,tropical,['fish'],,,,,,,,None,,"the laws of the Commonwealth of Australia and the laws of the Northern Territory of Australia, where applicable, apply",,,,,,,,"['Australia has closed parts of the Ashmore and Cartier reserve to Indonesian traditional fishing', ""Indonesian groups challenge Australia's claim to Ashmore Reef""]"
Atlantic Ocean,tropical cyclones (hurricanes) develop off the coast of Africa near Cabo Verde and move westward into the Caribbean Sea; hurricanes can occur from May to December but are most frequent from August to November,"['oil', 'gas fields', 'fish', 'marine mammals', 'seals', 'whales', 'sand', 'gravel aggregates', 'placer deposits', 'polymetallic nodules', 'precious stones']",,,,,,,,None,,,,,,,,,,['some maritime disputes (see littoral states)']
Australia,generally arid to semiarid; temperate in south and east; tropical in north,"['alumina', 'coal', 'iron ore', 'copper', 'tin', 'gold', 'silver', 'uranium', 'nickel', 'tungsten', 'rare earth elements', 'mineral sands', 'lead', 'zinc', 'diamonds', 'natural gas', ""petroleum; note -\xa0Australia is the world's largest net exporter of coal accounting for 29% of global coal exports""]","population is primarily located on the periphery, with the highest concentration of people residing in the east and southeast; a secondary population center is located in and around Perth in the west; of the States and Territories, New South Wales has, by far, the largest population; the interior, or ""outback"", has a very sparse population",8.1,18.72,12.89,41.15,11.35,15.88,"[{'name': 'English', 'percent': 72.7}, {'name': 'Mandarin', 'percent': 2.5}, {'name': 'Arabic', 'percent': 1.4}, {'name': 'Cantonese', 'percent': 1.2}, {'name': 'Vietnamese', 'percent': 1.2}, {'name': 'Italian', 'percent': 1.2}, {'name': 'Greek', 'percent': 1}, {'name': 'other', 'percent': 14.8}, {'name': 'unspecified', 'percent': 6.5}]",federal parliamentary democracy under a constitutional monarchy; a Commonwealth realm,common law system based on the English model,19.0,144.0,100.0,18.0,86.55,114.0,"[{'value': 1.9, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.9, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 2, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 2.1, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 2, 'units': 'percent_of_gdp', 'date': '2015'}]","['In 2007, Australia and Timor-Leste agreed to a 50-year development zone and revenue sharing arrangement and deferred a maritime boundary', 'Australia asserts land and maritime claims to Antarctica', ""Australia's 2004 submission to the Commission on the Limits of the Continental Shelf extends its continental margins over 3.37 million square kilometers, expanding its seabed roughly 30 percent beyond its claimed EEZ"", ""all borders between Indonesia and Australia have been agreed upon bilaterally, but a 1997 treaty that would settle the last of their maritime and EEZ boundary has yet to be ratified by Indonesia's legislature"", ""Indonesian groups challenge Australia's claim to Ashmore Reef"", 'Australia closed parts of the Ashmore and Cartier reserve to Indonesian traditional fishing']"
Austria,"temperate; continental, cloudy; cold winters with frequent rain and some snow in lowlands and snow in mountains; moderate summers with occasional showers","['oil', 'coal', 'lignite', 'timber', 'iron ore', 'copper', 'zinc', 'antimony', 'magnesite', 'tungsten', 'graphite', 'salt', 'hydropower']",the northern and eastern portions of the country are more densely populated; nearly two-thirds of the populace lives in urban areas,3.6,14.01,10.36,41.35,14.41,19.87,"[{'name': 'German', 'percent': 88.6, 'note': 'official nationwide'}, {'name': 'Turkish', 'percent': 2.3}, {'name': 'Serbian', 'percent': 2.2}, {'name': 'Croatian', 'percent': 1.6, 'note': 'official in Burgenland'}, {'name': 'other', 'percent': 5.3, 'note': 'includes Slovene, official in southern Carinthia, and Hungarian, official in Burgenland'}]",federal parliamentary republic,civil law system; judicial review of legislative acts by the Constitutional Court,45.0,110.0,100.0,36.0,87.71,125.0,"[{'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.8, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2015'}]",['none']
Azerbaijan,"dry, semiarid steppe","['petroleum', 'natural gas', 'iron ore', 'nonferrous metals', 'bauxite']","highest population density is found in the far eastern area of the county, in and around Baku; apart from smaller urbanized areas, the rest of the country has a fairly light and evenly distributed population",0.0,22.84,13.17,45.29,11.41,7.29,"[{'name': 'Azerbaijani', 'percent': 92.5, 'note': 'Azeri; official'}, {'name': 'Russian', 'percent': 1.4}, {'name': 'Armenian', 'percent': 1.4}, {'name': 'other', 'percent': 4.7}]",presidential republic,civil law system,73.0,194.0,100.0,71.0,79.8,103.0,"[{'value': 4, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 3.6, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 3.8, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 3.7, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 5.5, 'units': 'percent_of_gdp', 'date': '2015'}]","['Azerbaijan, Kazakhstan, and Russia ratified the Caspian seabed delimitation treaties based on equidistance, while Iran continues to insist on a one-fifth slice of the sea', 'the dispute over the break-away Nagorno-Karabakh region and the Armenian military occupation of surrounding lands in Azerbaijan remains the primary focus of regional instability', 'residents have evacuated the former Soviet-era small ethnic enclaves in Armenia and Azerbaijan', 'local border forces struggle to control the illegal transit of goods and people across the porous, undemarcated Armenian, Azerbaijani, and Georgian borders', 'bilateral talks continue with Turkmenistan on dividing the seabed and contested oilfields in the middle of the Caspian']"
"Bahamas, The",tropical marine; moderated by warm waters of Gulf Stream,"['salt', 'aragonite', 'timber', 'arable land']","most of the population lives in urban areas, with two-thirds living on New Providence Island where Nassau is located",0.0,22.04,15.39,43.86,10.04,8.67,"[{'name': 'English', 'note': 'official'}, {'name': 'Creole', 'note': 'among Haitian immigrants'}]",parliamentary democracy under a constitutional monarchy; a Commonwealth realm,common law system based on the English model,156.0,175.0,100.0,141.0,85.0,115.0,,['disagrees with the US on the alignment of the northern axis of a potential maritime boundary']
Bahrain,"arid; mild, pleasant winters; very hot, humid summers","['oil', 'associated', 'nonassociated natural gas', 'fish', 'pearls']","smallest population of the Gulf States, but urbanization rate exceeds 90%; largest settlement concentration is found on the far northern end of the island in and around Manamah and Al Muharraq",10.6,18.45,15.16,56.14,6.89,3.36,"[{'name': 'Arabic', 'note': 'official'}, {'name': 'English'}, {'name': 'Farsi'}, {'name': 'Urdu'}]",constitutional monarchy,"mixed legal system of Islamic (sharia) law, English common law, Egyptian civil, criminal, and commercial codes; customary law",100.0,86.0,100.0,90.0,98.64,145.0,"[{'value': 3.7, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 4.1, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 4.3, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 4.7, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 4.6, 'units': 'percent_of_gdp', 'date': '2015'}]",['none']
